question,test,ifc-file,structured-output,CRUD
Create a door with the size of 2 by 1 meters in the wall with id 2UsXAbj6n0fwEWqdkVuHvf.,test_01,basic_tasks.ifc,,create
"Create a slab with dimensions of 10 by 5 meters and the width of 20 centimeters with its bottom and center in (-30, 0).",test_02,basic_tasks.ifc,,create
Add an opening of size 5 by 5 meters to the center of the slab with id 11kJIqz$n2Jf_DfJV1SCVP.,test_03,basic_tasks.ifc,,create
"Insert a column with the height of 3m in (12, 8).",test_04,basic_tasks.ifc,,create
"Add a wall with a length of 15m beginning in (0, -10).",test_05,basic_tasks.ifc,,create
Provide the area in square meters of the room with id 2UsXAbj6n0fwEWqdkVuHyo.,test_06,basic_tasks.ifc,output_06,retrieve
Take off the length in meters of the wall with id 22hyxvAPr65PFt9WZfHSKC.,test_07,basic_tasks.ifc,output_07,retrieve
Provide the volume in cubic meters of the room with id 2UsXAbj6n0fwEWqdkVuHyo.,test_08,basic_tasks.ifc,output_08,retrieve
"Provide the distance in meters, center to center, of the columns with ids 22hyxvAPr65PFt9WZfHSMr and 22hyxvAPr65PFt9WZfHSMu.",test_09,basic_tasks.ifc,output_09,retrieve
Provide the global id of the wall that has a length of 5m.,test_10,basic_tasks.ifc,output_10,retrieve
Rotate the wall with id 22hyxvAPr65PFt9WZfHSP3 by +90 degree around the z axis.,test_11,basic_tasks.ifc,,update
Move the door by one meter in direction of x in the wall with id 11kJIqz$n2Jf_DfJV1SDYu.,test_12,basic_tasks.ifc,,update
Increase the height by 0.5 meters of the window with id 11kJIqz$n2Jf_DfJV1SDbS.,test_13,basic_tasks.ifc,,update
Decrease the height by 0.5 meters of the slab with the id 11kJIqz$n2Jf_DfJV1SCVP.,test_14,basic_tasks.ifc,,update
Move the column eith id 22hyxvAPr65PFt9WZfHSMu by -3 meters in direction of y.,test_15,basic_tasks.ifc,,update
Delete the column with the id 22hyxvAPr65PFt9WZfHS2x.,test_16,basic_tasks.ifc,,delete
Remove the door with id 11kJIqz$n2Jf_DfJV1SDY7.,test_17,basic_tasks.ifc,,delete
Delete the opening with id 0APGbZXNKfgPNB$VQQZ0pi.,test_18,basic_tasks.ifc,,delete
Remove the wall with id 2UsXAbj6n0fwEWqdkVuHyn.,test_19,basic_tasks.ifc,,delete
Take out the room with id 2UsXAbj6n0fwEWqdkVuHyo.,test_20,basic_tasks.ifc,,delete
